Machine,Job,Product,Operation,Start,Duration,Completion
0,36,enzyme3,0,0,4,4
0,39,enzyme3,0,4,4,8
0,42,enzyme3,0,8,4,12
0,45,enzyme3,0,12,4,16
0,48,enzyme4,0,20,5,25
0,53,enzyme4,0,25,5,30
0,56,enzyme4,0,30,5,35
0,59,enzyme4,0,35,5,40
0,14,enzyme1,0,44,3,47
0,17,enzyme1,0,47,3,50
0,20,enzyme1,0,50,3,53
0,23,enzyme1,0,53,3,56
0,2,enzyme0,0,57,8,65
0,4,enzyme0,0,65,8,73
0,7,enzyme0,0,73,8,81
0,10,enzyme0,0,81,8,89
1,37,enzyme3,0,0,4,4
1,40,enzyme3,0,4,4,8
1,43,enzyme3,0,8,4,12
1,46,enzyme3,0,12,4,16
1,49,enzyme4,0,17,5,22
1,51,enzyme4,0,22,5,27
1,54,enzyme4,0,27,5,32
1,57,enzyme4,0,32,5,37
1,12,enzyme1,0,41,3,44
1,15,enzyme1,0,44,3,47
1,18,enzyme1,0,47,3,50
1,21,enzyme1,0,50,3,53
1,0,enzyme0,0,54,8,62
1,3,enzyme0,0,62,8,70
1,6,enzyme0,0,70,8,78
1,9,enzyme0,0,78,8,86
2,38,enzyme3,0,0,4,4
2,41,enzyme3,0,4,4,8
2,44,enzyme3,0,8,4,12
2,47,enzyme3,0,12,4,16
2,50,enzyme4,0,19,5,24
2,52,enzyme4,0,24,5,29
2,55,enzyme4,0,29,5,34
2,58,enzyme4,0,34,5,39
2,13,enzyme1,0,43,3,46
2,16,enzyme1,0,46,3,49
2,19,enzyme1,0,49,3,52
2,22,enzyme1,0,52,3,55
2,1,enzyme0,0,59,8,67
2,5,enzyme0,0,67,8,75
2,8,enzyme0,0,75,8,83
2,11,enzyme0,0,83,8,91
3,24,enzyme2,0,0,3,3
3,28,enzyme2,0,3,3,6
3,32,enzyme2,0,6,3,9
3,60,enzyme5,0,10,8,18
3,64,enzyme5,0,18,8,26
3,68,enzyme5,0,26,8,34
3,36,enzyme3,1,35,6,41
3,40,enzyme3,1,41,6,47
3,44,enzyme3,1,47,6,53
3,47,enzyme3,1,53,6,59
3,53,enzyme4,1,63,4,67
3,59,enzyme4,1,67,4,71
3,15,enzyme1,1,73,2,75
3,18,enzyme1,1,75,2,77
3,22,enzyme1,1,77,2,79
3,1,enzyme0,1,83,4,87
3,6,enzyme0,1,87,4,91
3,10,enzyme0,1,91,4,95
4,25,enzyme2,0,0,3,3
4,29,enzyme2,0,3,3,6
4,33,enzyme2,0,6,3,9
4,61,enzyme5,0,12,8,20
4,66,enzyme5,0,20,8,28
4,70,enzyme5,0,28,8,36
4,38,enzyme3,1,38,6,44
4,42,enzyme3,1,44,6,50
4,45,enzyme3,1,50,6,56
4,48,enzyme4,1,58,4,62
4,55,enzyme4,1,62,4,66
4,58,enzyme4,1,66,4,70
4,14,enzyme1,1,74,2,76
4,21,enzyme1,1,76,2,78
4,2,enzyme0,1,80,4,84
4,4,enzyme0,1,84,4,88
4,8,enzyme0,1,88,4,92
5,26,enzyme2,0,0,3,3
5,30,enzyme2,0,3,3,6
5,34,enzyme2,0,6,3,9
5,62,enzyme5,0,12,8,20
5,67,enzyme5,0,20,8,28
5,71,enzyme5,0,28,8,36
5,39,enzyme3,1,40,6,46
5,43,enzyme3,1,46,6,52
5,46,enzyme3,1,52,6,58
5,52,enzyme4,1,59,4,63
5,56,enzyme4,1,63,4,67
5,12,enzyme1,1,71,2,73
5,16,enzyme1,1,73,2,75
5,19,enzyme1,1,75,2,77
5,23,enzyme1,1,77,2,79
5,3,enzyme0,1,83,4,87
5,7,enzyme0,1,87,4,91
5,11,enzyme0,1,91,4,95
6,27,enzyme2,0,0,3,3
6,31,enzyme2,0,3,3,6
6,35,enzyme2,0,6,3,9
6,63,enzyme5,0,10,8,18
6,65,enzyme5,0,18,8,26
6,69,enzyme5,0,26,8,34
6,37,enzyme3,1,35,6,41
6,41,enzyme3,1,41,6,47
6,49,enzyme4,1,49,4,53
6,50,enzyme4,1,53,4,57
6,51,enzyme4,1,57,4,61
6,54,enzyme4,1,61,4,65
6,57,enzyme4,1,65,4,69
6,13,enzyme1,1,71,2,73
6,17,enzyme1,1,73,2,75
6,20,enzyme1,1,75,2,77
6,0,enzyme0,1,81,4,85
6,5,enzyme0,1,85,4,89
6,9,enzyme0,1,89,4,93
7,24,enzyme2,1,3,3,6
7,26,enzyme2,1,6,3,9
7,28,enzyme2,1,9,3,12
7,30,enzyme2,1,12,3,15
7,32,enzyme2,1,15,3,18
7,34,enzyme2,1,18,3,21
7,60,enzyme5,1,23,3,26
7,61,enzyme5,1,26,3,29
7,64,enzyme5,1,29,3,32
7,66,enzyme5,1,32,3,35
7,68,enzyme5,1,35,3,38
7,70,enzyme5,1,38,3,41
7,36,enzyme3,2,42,6,48
7,38,enzyme3,2,48,6,54
7,40,enzyme3,2,54,6,60
7,42,enzyme3,2,60,6,66
7,44,enzyme3,2,66,6,72
7,49,enzyme4,2,74,7,81
7,50,enzyme4,2,81,7,88
7,48,enzyme4,2,88,7,95
7,52,enzyme4,2,95,7,102
7,55,enzyme4,2,102,7,109
7,56,enzyme4,2,109,7,116
7,58,enzyme4,2,116,7,123
7,2,enzyme0,2,125,4,129
7,1,enzyme0,2,129,4,133
7,4,enzyme0,2,133,4,137
7,6,enzyme0,2,137,4,141
7,8,enzyme0,2,141,4,145
7,10,enzyme0,2,145,4,149
8,25,enzyme2,1,3,3,6
8,27,enzyme2,1,6,3,9
8,29,enzyme2,1,9,3,12
8,31,enzyme2,1,12,3,15
8,33,enzyme2,1,15,3,18
8,35,enzyme2,1,18,3,21
8,63,enzyme5,1,25,3,28
8,62,enzyme5,1,28,3,31
8,65,enzyme5,1,31,3,34
8,67,enzyme5,1,34,3,37
8,69,enzyme5,1,37,3,40
8,71,enzyme5,1,40,3,43
8,37,enzyme3,2,44,6,50
8,39,enzyme3,2,50,6,56
8,41,enzyme3,2,56,6,62
8,43,enzyme3,2,62,6,68
8,45,enzyme3,2,68,6,74
8,46,enzyme3,2,74,6,80
8,47,enzyme3,2,80,6,86
8,51,enzyme4,2,88,7,95
8,54,enzyme4,2,95,7,102
8,53,enzyme4,2,102,7,109
8,57,enzyme4,2,109,7,116
8,59,enzyme4,2,116,7,123
8,0,enzyme0,2,126,4,130
8,3,enzyme0,2,130,4,134
8,5,enzyme0,2,134,4,138
8,7,enzyme0,2,138,4,142
8,9,enzyme0,2,142,4,146
8,11,enzyme0,2,146,4,150
