Machine,Job,Product,Operation,Start,Duration,Completion
0,17,enzyme3,0,0,4,4
0,24,enzyme4,0,8,5,13
0,21,enzyme4,0,13,5,18
0,8,enzyme1,0,22,3,25
0,5,enzyme1,0,25,3,28
0,2,enzyme0,0,29,8,37
0,0,enzyme0,0,37,8,45
1,18,enzyme3,0,0,4,4
1,15,enzyme3,0,4,4,8
1,22,enzyme4,0,9,5,14
1,20,enzyme4,0,14,5,19
1,7,enzyme1,0,23,3,26
1,3,enzyme0,0,27,8,35
1,1,enzyme0,0,35,8,43
2,19,enzyme3,0,0,4,4
2,16,enzyme3,0,4,4,8
2,23,enzyme4,0,11,5,16
2,9,enzyme1,0,20,3,23
2,6,enzyme1,0,23,3,26
2,4,enzyme0,0,30,8,38
3,11,enzyme2,0,0,3,3
3,27,enzyme5,0,4,8,12
3,25,enzyme5,0,12,8,20
3,16,enzyme3,1,21,6,27
3,23,enzyme4,1,31,4,35
3,5,enzyme1,1,37,2,39
3,1,enzyme0,1,43,4,47
4,12,enzyme2,0,0,3,3
4,28,enzyme5,0,6,8,14
4,18,enzyme3,1,16,6,22
4,24,enzyme4,1,24,4,28
4,20,enzyme4,1,28,4,32
4,8,enzyme1,1,36,2,38
4,4,enzyme0,1,40,4,44
4,0,enzyme0,1,45,4,49
5,13,enzyme2,0,0,3,3
5,29,enzyme5,0,6,8,14
5,19,enzyme3,1,18,6,24
5,22,enzyme4,1,25,4,29
5,9,enzyme1,1,33,2,35
5,6,enzyme1,1,35,2,37
5,3,enzyme0,1,41,4,45
6,14,enzyme2,0,0,3,3
6,10,enzyme2,0,3,3,6
6,26,enzyme5,0,7,8,15
6,17,enzyme3,1,16,6,22
6,15,enzyme3,1,22,6,28
6,21,enzyme4,1,30,4,34
6,7,enzyme1,1,36,2,38
6,2,enzyme0,1,42,4,46
7,13,enzyme2,1,3,3,6
7,11,enzyme2,1,6,3,9
7,27,enzyme5,1,12,3,15
7,28,enzyme5,1,15,3,18
7,26,enzyme5,1,18,3,21
7,18,enzyme3,2,22,6,28
7,19,enzyme3,2,28,6,34
7,15,enzyme3,2,34,6,40
7,22,enzyme4,2,42,7,49
7,21,enzyme4,2,49,7,56
7,4,enzyme0,2,58,4,62
7,2,enzyme0,2,62,4,66
7,0,enzyme0,2,66,4,70
8,14,enzyme2,1,3,3,6
8,12,enzyme2,1,6,3,9
8,10,enzyme2,1,9,3,12
8,29,enzyme5,1,16,3,19
8,25,enzyme5,1,20,3,23
8,17,enzyme3,2,24,6,30
8,16,enzyme3,2,30,6,36
8,24,enzyme4,2,38,7,45
8,20,enzyme4,2,45,7,52
8,23,enzyme4,2,52,7,59
8,3,enzyme0,2,62,4,66
8,1,enzyme0,2,66,4,70
