Machine,Job,Product,Operation,Start,Duration,Completion
0,5,enzyme1,0,0,3,3
0,8,enzyme1,0,3,3,6
0,16,enzyme3,0,10,4,14
0,20,enzyme4,0,18,5,23
0,24,enzyme4,0,23,5,28
0,2,enzyme0,0,30,8,38
1,6,enzyme1,0,0,3,3
1,9,enzyme1,0,3,3,6
1,17,enzyme3,0,10,4,14
1,21,enzyme4,0,15,5,20
1,23,enzyme4,0,20,5,25
1,0,enzyme0,0,28,8,36
1,4,enzyme0,0,36,8,44
2,7,enzyme1,0,0,3,3
2,15,enzyme3,0,5,4,9
2,18,enzyme3,0,9,4,13
2,19,enzyme3,0,13,4,17
2,22,enzyme4,0,20,5,25
2,1,enzyme0,0,26,8,34
2,3,enzyme0,0,34,8,42
3,10,enzyme2,0,0,3,3
3,14,enzyme2,0,3,3,6
3,28,enzyme5,0,7,8,15
3,7,enzyme1,1,16,2,18
3,8,enzyme1,1,18,2,20
3,21,enzyme4,1,21,4,25
3,20,enzyme4,1,25,4,29
3,23,enzyme4,1,29,4,33
3,1,enzyme0,1,36,4,40
3,3,enzyme0,1,42,4,46
4,11,enzyme2,0,0,3,3
4,25,enzyme5,0,6,8,14
4,5,enzyme1,1,17,2,19
4,9,enzyme1,1,19,2,21
4,17,enzyme3,1,24,6,30
4,18,enzyme3,1,30,6,36
4,0,enzyme0,1,38,4,42
4,4,enzyme0,1,44,4,48
5,12,enzyme2,0,0,3,3
5,26,enzyme5,0,6,8,14
5,6,enzyme1,1,18,2,20
5,15,enzyme3,1,23,6,29
5,24,enzyme4,1,30,4,34
5,2,enzyme0,1,38,4,42
6,13,enzyme2,0,0,3,3
6,27,enzyme5,0,4,8,12
6,29,enzyme5,0,12,8,20
6,16,enzyme3,1,21,6,27
6,22,enzyme4,1,29,4,33
6,19,enzyme3,1,37,6,43
7,10,enzyme2,1,3,3,6
7,12,enzyme2,1,6,3,9
7,14,enzyme2,1,9,3,12
7,27,enzyme5,1,14,3,17
7,26,enzyme5,1,17,3,20
7,29,enzyme5,1,20,3,23
7,21,enzyme4,2,26,7,33
7,15,enzyme3,2,37,6,43
7,0,enzyme0,2,46,4,50
7,3,enzyme0,2,50,4,54
7,18,enzyme3,2,56,6,62
7,20,enzyme4,2,64,7,71
7,23,enzyme4,2,71,7,78
8,11,enzyme2,1,3,3,6
8,13,enzyme2,1,6,3,9
8,25,enzyme5,1,14,3,17
8,28,enzyme5,1,17,3,20
8,16,enzyme3,2,27,6,33
8,17,enzyme3,2,33,6,39
8,1,enzyme0,2,42,4,46
8,2,enzyme0,2,46,4,50
8,4,enzyme0,2,50,4,54
8,19,enzyme3,2,57,6,63
8,22,enzyme4,2,65,7,72
8,24,enzyme4,2,72,7,79
